Title,Author,Publisher,Date
삼체 1: 삼체문제,류츠신,자음과모음,2022.02.15
모순,양귀자,쓰다,2013.04.01
2024 제15회 젊은작가상 수상작품집,김멜라 외,문학동네,2024.03.31
이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27
철도원 삼대,황석영,창비,2020.06.05
흐르는 강물처럼,셸리 리드,다산책방,2024.01.08
구의 증명,최진영,은행나무,2023.04.26
불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20
인간 실격,다자이 오사무,민음사,2012.04.10
맡겨진 소녀,클레어 키건,다산책방,2023.04.21
홍학의 자리,정해연,엘릭시르,2021.07.26
아주 희미한 빛으로도,최은영,문학동네,2023.08.07
파과,구병모,위즈덤하우스,2018.04.16
남은 인생 10년,고사카 루카,모모,2024.03.22
원도,최진영,한겨레출판사,2024.03.30
데미안,헤르만 헤세,민음사,2009.01.20
블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아,2024.03.02
채식주의자,한강,창비,2022.03.28
디 에센셜: 프란츠 카프카(교보문고 특별판),프란츠 카프카,민음사,2024.03.15
다 하지 못한 말,임경선,토스트,2024.03.20
