Month,Title,Author,Publisher,Publish_Date,Category
5,모순,양귀자,쓰다,2013.04.01,일반
5,나의 돈키호테,김호연,나무옆의자,2024.04.25,일반
5,흐르는 강물처럼,셸리 리드,다산책방,2024.01.08,일반
5,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
5,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27,일반
5,내일의 으뜸,김빵,다향,2024.05.24,fantasy
5,2024 제15회 젊은작가상 수상작품집,김멜라 외,문학동네,2024.03.31,일반
5,철도원 삼대,황석영,창비,2020.06.05,일반
5,삼체 1: 삼체문제,류츠신,자음과모음,2022.02.15,일반
5,사에즈리 도서관의 와루츠 씨,코교쿠 이즈키,알토북스,2024.05.10,일반
5,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20,일반
5,녹나무의 여신,히가시노 게이고,소미미디어,2024.05.23,일반
5,맡겨진 소녀,클레어 키건,다산책방,2023.04.21,일반
5,구의 증명,최진영,은행나무,2023.04.26,일반
5,디 에센셜 김연수,김연수,문학동네,2024.05.15,일반
5,싯다르타,헤르만 헤세,민음사,2002.01.20,일반
5,파과,구병모,위즈덤하우스,2018.04.16,일반
5,데미안,헤르만 헤세,민음사,2009.01.20,일반
5,노르웨이의 숲,무라카미 하루키,민음사,2017.08.07,일반
5,홍학의 자리,정해연,엘릭시르,2021.07.26,일반
5,인간 실격,다자이 오사무,민음사,2012.04.10,일반
5,소년이 온다,한강,창비,2014.05.19,일반
5,그리고 너는 속고 있다,시가 아키라,소담출판사,2024.04.10,일반
5,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2018.06.20,일반
5,"어서 오세요, 휴남동 서점입니다",황보름,클레이하우스,2022.01.17,일반
5,아주 희미한 빛으로도,최은영,문학동네,2023.08.07,일반
5,두 사람의 인터내셔널,김기태,문학동네,2024.05.15,일반
5,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
5,프로젝트 헤일메리,앤디 위어,알에이치코리아,2021.05.04,sf
5,일러두기(제47회 이상문학상 작품집 2024년),조경란 외,문학사상,2024.04.09,일반
5,삼체 2: 암흑의 숲,류츠신,자음과모음,2022.02.15,일반
5,남은 인생 10년,고사카 루카,모모,2024.03.22,romance
5,불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022.08.10,일반
5,"안데르센, 잔혹동화 속 문장의 기억(Andersen, Memory of Sentences)",박예진,센텐스(SENTENCE),2024.05.07,일반
5,도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06,일반
5,리틀 라이프 1,한야 야나기하라,시공사,2016.06.16,일반
5,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
5,회색 인간,김동식,요다,2017.12.27,일반
5,채식주의자,한강,창비,2022.03.28,일반
5,왜 나는 너를 사랑하는가(70만 부 기념 리커버),알랭 드 보통,청미래,2022.11.10,일반
5,가재가 노래하는 곳,델리아 오언스,살림,2019.06.21,일반
5,룬의 아이들 블러디드 7,전민희,엘릭시르,2024.05.30,fantasy
5,천 개의 파랑,천선란,허블,2020.08.19,sf
5,어린 왕자(오리지널 초판본)(무선),앙투안 드 생텍쥐페리,코너스톤,2020.09.22,일반
5,이방인,알베르 카뮈,민음사,2019.09.02,일반
5,삼체 3: 사신의 영생,류츠신,자음과모음,2022.02.15,일반
5,종의 기원,정유정,은행나무,2016.05.16,일반
5,바다가 들리는 편의점 3,마치다 소노코,모모,2024.05.10,일반
5,리틀 라이프 2,한야 야나기하라,시공사,2016.06.16,일반
5,나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019.04.20,일반
5,관종의 순례,우원재,양문,2024.05.10,일반
5,1984,조지 오웰,민음사,2007.03.30,일반
5,호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,2023.01.17,일반
