월,순위,제목,저자,출판사,판매지수,출판 년월
1,1,메리골드 마음 사진관,윤정은,북로망스,"판매지수 58,368",2024년 01월
1,2,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 131,535",2022년 05월
1,3,해리포터와 마법사의 돌 1,J.K. 롤링,문학수첩,"판매지수 35,604",2019년 11월
1,4,수상한 한의원,배명은,텍스티(TXTY),"판매지수 34,788",2024년 01월
1,5,요괴어사 2,설민석,단꿈아이,"판매지수 13,698",2023년 12월
1,6,달러구트 꿈 백화점,이미예,팩토리나인,"판매지수 57,615",2020년 07월
1,7,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,294",2020년 04월
1,8,해리포터와 마법사의 돌 2,J.K. 롤링,문학수첩,"판매지수 29,832",2019년 11월
1,9,달러구트 꿈 백화점 2,이미예,팩토리나인,"판매지수 40,062",2021년 07월
1,10,해리포터와 비밀의 방 1,J.K. 롤링,문학수첩,"판매지수 18,984",2019년 11월
1,11,요괴어사,설민석,단꿈아이,"판매지수 7,416",2023년 04월
1,12,해리포터와 비밀의 방 2,J.K. 롤링,문학수첩,"판매지수 17,592",2019년 11월
1,13,해리 포터와 아즈카반의 죄수 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 20,961",2023년 10월
1,14,해리 포터 마법 연감,J.K. 롤링,문학수첩,"판매지수 12,564",2023년 12월
1,15,해리포터와 아즈카반의 죄수 2,J.K. 롤링,문학수첩,"판매지수 13,074",2019년 11월
1,16,해리포터와 아즈카반의 죄수 1,J.K. 롤링,문학수첩,"판매지수 13,524",2019년 11월
1,17,전지적 독자 시점 PART 1 - 01,싱숑,비채,"판매지수 19,086",2022년 01월
1,18,전지적 독자 시점 PART 5 - 02,싱숑,비채,"판매지수 15,972",2023년 09월
1,19,전지적 독자 시점 PART 5 - 01,싱숑,비채,"판매지수 15,654",2023년 09월
1,20,전지적 독자 시점 PART 4 - 04,싱숑,비채,"판매지수 15,282",2023년 09월
1,21,전지적 독자 시점 PART 1 - 02,싱숑,비채,"판매지수 16,608",2022년 01월
1,22,전지적 독자 시점 PART 4 - 03,싱숑,비채,"판매지수 15,072",2023년 09월
1,23,해리포터와 불의 잔 1,J.K. 롤링,문학수첩,"판매지수 11,886",2019년 11월
1,24,전지적 독자 시점 PART 3 - 01,싱숑,비채,"판매지수 15,918",2023년 01월
1,25,전지적 독자 시점 PART 4 - 02,싱숑,비채,"판매지수 15,318",2023년 09월
1,26,전지적 독자 시점 PART 1 - 08,싱숑,비채,"판매지수 14,598",2022년 01월
1,27,해리 포터와 비밀의 방 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 16,212",2021년 10월
1,28,해리포터와 불의 잔 4,J.K. 롤링,문학수첩,"판매지수 10,806",2019년 11월
1,29,해리포터와 불의 잔 3,J.K. 롤링,문학수첩,"판매지수 10,878",2019년 11월
