월,순위,제목,저자,출판사,판매지수,출판 년월
1,1,고려거란전쟁 (상),길승수,들녘,"판매지수 6,618",2023년 11월
1,2,고려거란전쟁 (하),길승수,들녘,"판매지수 6,234",2023년 11월
1,3,이문열 삼국지 세트,이문열,알에이치코리아(RHK),"판매지수 14,082",2020년 03월
1,4,이문열 삼국지 1,나관중,알에이치코리아(RHK),"판매지수 7,158",2020년 03월
1,5,범도 1,방현석,문학동네,"판매지수 9,318",2023년 06월
1,6,범도 2,방현석,문학동네,"판매지수 8,682",2023년 06월
1,7,흥화진의 별들,민강,역바연,"판매지수 2,262",2022년 12월
1,8,아우구스투스,존 윌리엄스,구픽,"판매지수 3,282",2016년 08월
1,9,황석영 정역 삼국지 세트,나관중,창비,"판매지수 7,302",2020년 12월
1,10,감찰무녀전,김이삭,고즈넉이엔티,"판매지수 1,494",2024년 01월
1,11,노량,박은우,고즈넉이엔티,판매지수 924,2023년 11월
1,12,고구려 7,김진명,이타북스,"판매지수 5,634",2021년 06월
1,13,이문열 삼국지 2,나관중,알에이치코리아(RHK),"판매지수 3,066",2020년 03월
1,14,제주도우다 2,현기영,창비,"판매지수 2,688",2023년 07월
1,15,아홉 꼬리의 전설,배상민,북다,판매지수 828,2023년 12월
1,16,상해임시정부,정명섭,고즈넉이엔티,판매지수 420,2019년 01월
1,17,제주도우다 3,현기영,창비,"판매지수 2,682",2023년 07월
1,18,혼불 1,최명희,매안출판사,"판매지수 3,108",2009년 07월
1,19,제주도우다 1,현기영,창비,"판매지수 2,916",2023년 07월
1,20,칼의 노래,김훈,문학동네,"판매지수 3,510",2012년 01월
1,21,마리 앙투아네트 : 베르사유와 프랑스혁명,슈테판 츠바이크,이화북스,"판매지수 1,956",2023년 10월
1,22,혼불 2,최명희,매안출판사,"판매지수 2,802",2009년 07월
1,23,흑뢰성,요네자와 호노부,리드비(READbie),"판매지수 2,448",2022년 09월
1,24,한산,김동하,고즈넉이엔티,판매지수 486,2022년 07월
1,25,고구려 1부 : 땅을 다지다 세트,김진명,이타북스,"판매지수 2,598",2021년 06월
1,26,미스터 션샤인 2,김수연,알에이치코리아(RHK),"판매지수 3,474",2018년 10월
1,27,혼불 3,최명희,매안출판사,"판매지수 2,922",2009년 07월
1,28,대망 1세트,야마오카 소하치,동서문화사,"판매지수 2,874",2005년 04월
1,29,혼불 4,최명희,매안출판사,"판매지수 2,298",2009년 07월
1,30,혼불 9,최명희,매안출판사,"판매지수 2,508",2009년 07월
1,31,혼불 10,최명희,매안출판사,"판매지수 2,340",2009년 07월
1,32,혼불 8,최명희,매안출판사,"판매지수 2,370",2009년 07월
1,33,혼불 7,최명희,매안출판사,"판매지수 2,310",2009년 07월
1,34,혼불 6,최명희,매안출판사,"판매지수 2,544",2009년 07월
1,35,혼불 5,최명희,매안출판사,"판매지수 2,436",2009년 07월
1,36,상도 1,최인호,여백출판사,"판매지수 1,056",2020년 11월
1,37,대망 1,야마오카 소하치,동서문화사,"판매지수 3,762",2005년 04월
1,38,"1945, 철원",이현,창비,"판매지수 1,056",2023년 07월
1,39,고구려 2,김진명,이타북스,"판매지수 1,236",2021년 06월
1,40,소설 손자병법 세트,정비석,은행나무,"판매지수 1,878",2002년 11월
1,41,고구려 6,김진명,이타북스,"판매지수 2,484",2021년 06월
1,42,고구려 3,김진명,이타북스,"판매지수 1,404",2021년 06월
1,43,상도 3,최인호,여백출판사,판매지수 720,2020년 11월
1,44,한강 세트,조정래,해냄,"판매지수 1,122",2020년 11월
1,45,이문열 삼국지 4,나관중,알에이치코리아(RHK),"판매지수 2,142",2020년 03월
1,46,흑산 黑山,김훈,학고재,"판매지수 1,686",2011년 10월
1,47,강감찬과 고려 거란 전쟁,박성종,북오션,판매지수 522,2024년 01월
1,48,'80 서울의 봄,박상하,여산서숙,판매지수 390,2023년 12월
1,49,칼을 품고 슬퍼하다,이상훈,여백,판매지수 924,2023년 09월
1,50,그 여름의 서울,이현,창비,"판매지수 1,380",2023년 07월
1,51,광개토태왕 담덕 7,엄광용,새움,판매지수 648,2023년 07월
1,52,이문열 수호지 세트,시내암,알에이치코리아(RHK),판매지수 744,2021년 06월
1,53,고구려 1,김진명,이타북스,"판매지수 1,422",2021년 06월
1,54,이문열 삼국지 6,나관중,알에이치코리아(RHK),"판매지수 1,680",2020년 03월
1,55,아버지는 14세 징용자였다,지성호,논형,판매지수 120,2022년 10월
1,56,사마르칸트,아민 말루프,교양인,판매지수 366,2023년 11월
1,57,베니스의 개성상인 2,오세영,문예춘추사,"판매지수 1,026",2023년 02월
1,58,베니스의 개성상인 1,오세영,문예춘추사,"판매지수 1,074",2023년 01월
1,59,고구려 5,김진명,이타북스,"판매지수 1,404",2021년 06월
1,60,고구려 4,김진명,이타북스,"판매지수 1,350",2021년 06월
1,61,상도 2,최인호,여백출판사,판매지수 756,2020년 11월
1,62,이문열 초한지 세트,이문열,알에이치코리아(RHK),"판매지수 1,632",2020년 11월
1,63,이문열 삼국지 3,나관중,알에이치코리아(RHK),"판매지수 2,352",2020년 03월
1,64,덕혜옹주,권비영,다산책방,"판매지수 1,110",2015년 10월
1,65,현의 노래,김훈,문학동네,"판매지수 1,212",2012년 01월
1,66,쿠오 바디스 2,헨릭 시엔키에비츠,민음사,판매지수 576,2005년 12월
1,67,쿠오 바디스 1,헨릭 시엔키에비츠,민음사,판매지수 624,2005년 12월
1,68,삼국지 전6권 세트,정비석,은행나무,판매지수 192,2004년 07월
1,69,광개토태왕 담덕 6,엄광용,새움,판매지수 546,2023년 05월
1,70,광개토태왕 담덕 5,엄광용,새움,판매지수 438,2023년 03월
1,71,삼국지 1,나관중,창비,판매지수 978,2020년 12월
1,72,이문열 삼국지 8,나관중,알에이치코리아(RHK),"판매지수 1,026",2020년 03월
1,73,이문열 삼국지 7,나관중,알에이치코리아(RHK),"판매지수 1,320",2020년 03월
1,74,이문열 삼국지 5,나관중,알에이치코리아(RHK),"판매지수 1,884",2020년 03월
1,75,둔황,이노우에 야스시,문학동네,판매지수 648,2010년 08월
1,76,영원한 제국,이인화,세계사,판매지수 936,2006년 09월
1,77,대륙의 딸 (상),장융,까치(까치글방),판매지수 330,2006년 04월
1,78,노량,박성종,북오션,판매지수 156,2023년 12월
1,79,쿄코와 쿄지,한정현,문학과지성사,판매지수 618,2023년 09월
1,80,물로 씌어진 이름 3,복거일,백년동안,판매지수 204,2023년 07월
1,81,검은머리 미군 대원수 1,명원,레드리버,판매지수 570,2023년 04월
1,82,한강 1,조정래,해냄,판매지수 774,2020년 11월
1,83,김의 나라,이상훈,파람북,판매지수 108,2020년 04월
1,84,이문열 삼국지 10,나관중,알에이치코리아(RHK),"판매지수 1,086",2020년 03월
1,85,감정 교육 1,구스타브 플로베르,펭귄클래식코리아,판매지수 246,2010년 10월
1,86,리큐에게 물어라,야마모토 겐이치,문학동네,판매지수 594,2010년 03월
1,87,1026,김진명,새움,판매지수 168,2010년 03월
1,88,대륙의 딸 (하),장융,까치(까치글방),판매지수 318,2006년 04월
1,89,구이원 7 아바간성의 두 영웅,무곡성,삼현미디어,판매지수 48,2023년 12월
1,90,세인트 헬레나에서 온 남자,오세영,델피노,판매지수 156,2023년 12월
1,91,사라진 개발자들,캐시 클라이먼,한빛미디어,판매지수 372,2023년 08월
1,92,궁상각치우,강상범,역바연,판매지수 150,2023년 07월
1,93,핵가족,한요셉,위즈덤하우스,판매지수 714,2023년 07월
1,94,검은머리 미군 대원수 2,명원,레드리버,판매지수 606,2023년 04월
1,95,1980년 5월 24일,조성기,한길사,판매지수 210,2023년 03월
1,96,"한성부, 달 밝은 밤에",김이삭,고즈넉이엔티,판매지수 438,2021년 03월
1,97,한강 6,조정래,해냄,판매지수 288,2020년 11월
1,98,이문열 초한지 9,이문열,알에이치코리아(RHK),판매지수 270,2020년 11월
1,99,이문열 초한지 4,이문열,알에이치코리아(RHK),판매지수 450,2020년 11월
1,100,이문열 초한지 3,이문열,알에이치코리아(RHK),판매지수 534,2020년 11월
2,1,고려거란전쟁 (상),길승수,들녘,"판매지수 6,618",2023년 11월
2,2,고려거란전쟁 (하),길승수,들녘,"판매지수 6,234",2023년 11월
2,3,이문열 삼국지 세트,이문열,알에이치코리아(RHK),"판매지수 14,082",2020년 03월
2,4,이문열 삼국지 1,나관중,알에이치코리아(RHK),"판매지수 7,158",2020년 03월
2,5,흥화진의 별들,민강,역바연,"판매지수 2,262",2022년 12월
2,6,고구려 1부 : 땅을 다지다 세트,김진명,이타북스,"판매지수 2,598",2021년 06월
2,7,고구려 7,김진명,이타북스,"판매지수 5,634",2021년 06월
2,8,범도 2,방현석,문학동네,"판매지수 8,682",2023년 06월
2,9,범도 1,방현석,문학동네,"판매지수 9,318",2023년 06월
2,10,나랏말싸미 듕귁에 달아 2,홍웅표,나무와숲,"판매지수 1,050",2024년 02월
2,11,아우구스투스,존 윌리엄스,구픽,"판매지수 3,282",2016년 08월
2,12,황석영 정역 삼국지 세트,나관중,창비,"판매지수 7,302",2020년 12월
2,13,고구려 1,김진명,이타북스,"판매지수 1,422",2021년 06월
2,14,감찰무녀전,김이삭,고즈넉이엔티,"판매지수 1,494",2024년 01월
2,15,흑뢰성,요네자와 호노부,리드비(READbie),"판매지수 2,448",2022년 09월
2,16,물로 씌어진 이름 제1부 광복 세트,복거일,백년동안,판매지수 528,2023년 07월
2,17,이문열 삼국지 2,나관중,알에이치코리아(RHK),"판매지수 3,066",2020년 03월
2,18,제주도우다 3,현기영,창비,"판매지수 2,682",2023년 07월
2,19,제주도우다 2,현기영,창비,"판매지수 2,688",2023년 07월
2,20,제주도우다 1,현기영,창비,"판매지수 2,916",2023년 07월
2,21,미스터 션샤인 2,김수연,알에이치코리아(RHK),"판매지수 3,474",2018년 10월
2,22,혼불 5,최명희,매안출판사,"판매지수 2,436",2009년 07월
2,23,대망 1세트,야마오카 소하치,동서문화사,"판매지수 2,874",2005년 04월
2,24,마리 앙투아네트 : 베르사유와 프랑스혁명,슈테판 츠바이크,이화북스,"판매지수 1,956",2023년 10월
2,25,칼의 노래,김훈,문학동네,"판매지수 3,510",2012년 01월
2,26,대망 1,야마오카 소하치,동서문화사,"판매지수 3,762",2005년 04월
2,27,이문열 삼국지 3,나관중,알에이치코리아(RHK),"판매지수 2,352",2020년 03월
2,28,혼불 3,최명희,매안출판사,"판매지수 2,922",2009년 07월
2,29,혼불 2,최명희,매안출판사,"판매지수 2,802",2009년 07월
2,30,고구려 3,김진명,이타북스,"판매지수 1,404",2021년 06월
2,31,고구려 2,김진명,이타북스,"판매지수 1,236",2021년 06월
2,32,혼불 7,최명희,매안출판사,"판매지수 2,310",2009년 07월
2,33,혼불 6,최명희,매안출판사,"판매지수 2,544",2009년 07월
2,34,혼불 4,최명희,매안출판사,"판매지수 2,298",2009년 07월
2,35,아홉 꼬리의 전설,배상민,북다,판매지수 828,2023년 12월
2,36,고구려 4,김진명,이타북스,"판매지수 1,350",2021년 06월
2,37,한강 세트,조정래,해냄,"판매지수 1,122",2020년 11월
2,38,혼불 1,최명희,매안출판사,"판매지수 3,108",2009년 07월
2,39,강감찬과 고려 거란 전쟁,박성종,북오션,판매지수 522,2024년 01월
2,40,쿄코와 쿄지,한정현,문학과지성사,판매지수 618,2023년 09월
2,41,고구려 6,김진명,이타북스,"판매지수 2,484",2021년 06월
2,42,이문열 초한지 세트,이문열,알에이치코리아(RHK),"판매지수 1,632",2020년 11월
2,43,혼불 10,최명희,매안출판사,"판매지수 2,340",2009년 07월
2,44,혼불 9,최명희,매안출판사,"판매지수 2,508",2009년 07월
2,45,이문열 삼국지 6,나관중,알에이치코리아(RHK),"판매지수 1,680",2020년 03월
2,46,현의 노래,김훈,문학동네,"판매지수 1,212",2012년 01월
2,47,흑산 黑山,김훈,학고재,"판매지수 1,686",2011년 10월
2,48,혼불 8,최명희,매안출판사,"판매지수 2,370",2009년 07월
2,49,영원한 제국,이인화,세계사,판매지수 936,2006년 09월
2,50,고구려 5,김진명,이타북스,"판매지수 1,404",2021년 06월
2,51,"한성부, 달 밝은 밤에",김이삭,고즈넉이엔티,판매지수 438,2021년 03월
2,52,상도 2,최인호,여백출판사,판매지수 756,2020년 11월
2,53,상도 1,최인호,여백출판사,"판매지수 1,056",2020년 11월
2,54,해를 품은 달 2,정은궐,파란 (파란미디어),판매지수 822,2011년 10월
2,55,해를 품은 달 1,정은궐,파란 (파란미디어),판매지수 828,2011년 10월
2,56,거짓말쟁이와 모나리자,E.L. 코닉스버그,사계절,판매지수 372,2002년 01월
2,57,'80 서울의 봄,박상하,여산서숙,판매지수 390,2023년 12월
2,58,칼을 품고 슬퍼하다,이상훈,여백,판매지수 924,2023년 09월
2,59,나랏말싸미 듕귁에 달아,홍웅표,나무와숲,판매지수 120,2023년 07월
2,60,테헤란로를 걷는 신라공주,이상훈,파람북,판매지수 228,2021년 10월
2,61,상도 3,최인호,여백출판사,판매지수 720,2020년 11월
2,62,한강 1,조정래,해냄,판매지수 774,2020년 11월
2,63,이문열 삼국지 9,나관중,알에이치코리아(RHK),"판매지수 1,038",2020년 03월
2,64,이문열 삼국지 4,나관중,알에이치코리아(RHK),"판매지수 2,142",2020년 03월
2,65,료마가 간다 세트,시바 료타로,동서문화사,판매지수 762,2011년 12월
2,66,리큐에게 물어라,야마모토 겐이치,문학동네,판매지수 594,2010년 03월
2,67,단종으로 플레이한다 2,다물,어울림출판사,판매지수 72,2024년 02월
2,68,단종으로 플레이한다 1,다물,어울림출판사,판매지수 72,2024년 02월
2,69,그 여름의 서울,이현,창비,"판매지수 1,380",2023년 07월
2,70,"1945, 철원",이현,창비,"판매지수 1,056",2023년 07월
2,71,물로 씌어진 이름 1,복거일,백년동안,판매지수 132,2023년 07월
2,72,베니스의 개성상인 2,오세영,문예춘추사,"판매지수 1,026",2023년 02월
2,73,베니스의 개성상인 1,오세영,문예춘추사,"판매지수 1,074",2023년 01월
2,74,이문열 수호지 세트,시내암,알에이치코리아(RHK),판매지수 744,2021년 06월
2,75,삼국지 2,나관중,창비,판매지수 474,2020년 12월
2,76,삼국지 1,나관중,창비,판매지수 978,2020년 12월
2,77,이문열 삼국지 7,나관중,알에이치코리아(RHK),"판매지수 1,320",2020년 03월
2,78,이문열 삼국지 5,나관중,알에이치코리아(RHK),"판매지수 1,884",2020년 03월
2,79,성균관 유생들의 나날 2,정은궐,파란 (파란미디어),판매지수 978,2009년 07월
2,80,성균관 유생들의 나날 1,정은궐,파란 (파란미디어),"판매지수 1,008",2009년 07월
2,81,소설 손자병법 세트,정비석,은행나무,"판매지수 1,878",2002년 11월
2,82,원경 2,서자영,고즈넉이엔티,판매지수 798,2024년 02월
2,83,원경 1,서자영,고즈넉이엔티,판매지수 834,2024년 02월
2,84,삼국지 三國志,나관중,책에반하다,판매지수 576,2024년 02월
2,85,노량,박성종,북오션,판매지수 156,2023년 12월
2,86,노량,박은우,고즈넉이엔티,판매지수 924,2023년 11월
2,87,사마르칸트,아민 말루프,교양인,판매지수 366,2023년 11월
2,88,핵가족,한요셉,위즈덤하우스,판매지수 714,2023년 07월
2,89,물로 씌어진 이름 4,복거일,백년동안,판매지수 192,2023년 07월
2,90,검은머리 미군 대원수 3,명원,레드리버,판매지수 468,2023년 04월
2,91,검은머리 미군 대원수 2,명원,레드리버,판매지수 606,2023년 04월
2,92,한산,김동하,고즈넉이엔티,판매지수 486,2022년 07월
2,93,한강 10,조정래,해냄,판매지수 438,2020년 11월
2,94,이문열 삼국지 10,나관중,알에이치코리아(RHK),"판매지수 1,086",2020년 03월
2,95,이문열 삼국지 8,나관중,알에이치코리아(RHK),"판매지수 1,026",2020년 03월
2,96,불멸의 이순신 8,김탁환,민음사,판매지수 156,2014년 07월
2,97,불멸의 이순신 7,김탁환,민음사,판매지수 156,2014년 07월
2,98,둔황,이노우에 야스시,문학동네,판매지수 648,2010년 08월
2,99,1026,김진명,새움,판매지수 168,2010년 03월
2,100,마리 앙투아네트 베르사유의 장미,슈테판 츠바이크,청미래,판매지수 978,2005년 09월
3,1,고려거란전쟁 (하),길승수,들녘,"판매지수 6,234",2023년 11월
3,2,고려거란전쟁 (상),길승수,들녘,"판매지수 6,618",2023년 11월
3,3,광개토태왕 담덕 8,엄광용,새움,"판매지수 1,836",2024년 03월
3,4,이문열 삼국지 세트,이문열,알에이치코리아(RHK),"판매지수 14,082",2020년 03월
3,5,그 여름의 서울,이현,창비,"판매지수 1,380",2023년 07월
3,6,이문열 삼국지 1,나관중,알에이치코리아(RHK),"판매지수 7,158",2020년 03월
3,7,고구려 7,김진명,이타북스,"판매지수 5,634",2021년 06월
3,8,범도 2,방현석,문학동네,"판매지수 8,682",2023년 06월
3,9,범도 1,방현석,문학동네,"판매지수 9,318",2023년 06월
3,10,흥화진의 별들,민강,역바연,"판매지수 2,262",2022년 12월
3,11,제주도우다 1,현기영,창비,"판매지수 2,916",2023년 07월
3,12,고구려 1부 : 땅을 다지다 세트,김진명,이타북스,"판매지수 2,598",2021년 06월
3,13,아우구스투스,존 윌리엄스,구픽,"판매지수 3,282",2016년 08월
3,14,칼의 노래,김훈,문학동네,"판매지수 3,510",2012년 01월
3,15,제주도우다 3,현기영,창비,"판매지수 2,682",2023년 07월
3,16,제주도우다 2,현기영,창비,"판매지수 2,688",2023년 07월
3,17,신의 죽음,김진명,새움,"판매지수 2,556",2024년 03월
3,18,황석영 정역 삼국지 세트,나관중,창비,"판매지수 7,302",2020년 12월
3,19,대망 1,야마오카 소하치,동서문화사,"판매지수 3,762",2005년 04월
3,20,대망 1세트,야마오카 소하치,동서문화사,"판매지수 2,874",2005년 04월
3,21,미스터 션샤인 2,김수연,알에이치코리아(RHK),"판매지수 3,474",2018년 10월
3,22,고구려 6,김진명,이타북스,"판매지수 2,484",2021년 06월
3,23,마리 앙투아네트 : 베르사유와 프랑스혁명,슈테판 츠바이크,이화북스,"판매지수 1,956",2023년 10월
3,24,흑뢰성,요네자와 호노부,리드비(READbie),"판매지수 2,448",2022년 09월
3,25,고구려 3,김진명,이타북스,"판매지수 1,404",2021년 06월
3,26,고구려 1,김진명,이타북스,"판매지수 1,422",2021년 06월
3,27,이문열 삼국지 2,나관중,알에이치코리아(RHK),"판매지수 3,066",2020년 03월
3,28,몽유도원,민혜숙,소명출판,판매지수 396,2024년 03월
3,29,고구려 4,김진명,이타북스,"판매지수 1,350",2021년 06월
3,30,고구려 2,김진명,이타북스,"판매지수 1,236",2021년 06월
3,31,원경 1,서자영,고즈넉이엔티,판매지수 834,2024년 02월
3,32,고구려 5,김진명,이타북스,"판매지수 1,404",2021년 06월
3,33,상도 1,최인호,여백출판사,"판매지수 1,056",2020년 11월
3,34,원경 2,서자영,고즈넉이엔티,판매지수 798,2024년 02월
