월,순위,제목,저자,출판사,판매지수,출판 년월
1,1,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월
1,2,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월
1,3,페어워닝,마이클 코넬리,알에이치코리아(RHK),"판매지수 4,422",2024년 01월
1,4,그리고 아무도 없었다,애거사 크리스티,해문출판사,"판매지수 8,622",2002년 05월
1,5,[예스리커버] 트로피컬 나이트,조예은,한겨레출판,"판매지수 10,269",2023년 08월
1,6,사선을 걷는 남자,데이비드 발다치,북로드,"판매지수 3,252",2023년 11월
1,7,살육에 이르는 병,아비코 다케마루,검은숲,"판매지수 10,866",2016년 07월
1,8,죽여 마땅한 사람들,피터 스완슨,푸른숲,"판매지수 6,852",2016년 07월
1,9,살려 마땅한 사람들,피터 스완슨,푸른숲,"판매지수 4,248",2023년 10월
1,10,고백,미나토 가나에,비채,"판매지수 10,290",2018년 08월
1,11,해바라기가 피지 않는 여름,미치오 슈스케,들녘,"판매지수 7,476",2014년 09월
1,12,트로피컬 나이트,조예은,한겨레출판,"판매지수 20,289",2022년 08월
1,13,아홉수 가위,범유진,안전가옥,"판매지수 4,650",2021년 10월
1,14,제노사이드,다카노 가즈아키,황금가지,"판매지수 10,833",2012년 06월
1,15,봉제인형 살인사건,다니엘 콜,북플라자,"판매지수 7,662",2017년 10월
1,16,신을 죽인 여자들,클라우디아 피녜이로,푸른숲,"판매지수 2,586",2023년 12월
1,17,일곱명의 술래잡기,미쓰다 신조,북로드,"판매지수 1,242",2024년 01월
1,18,이상한 집,우케쓰,리드비(READbie),"판매지수 5,514",2022년 10월
1,19,헝거게임,수잔 콜린스,북폴리오,"판매지수 4,302",2009년 10월
1,20,퇴마록 국내편 1,이우혁,엘릭시르,"판매지수 3,750",2011년 09월
1,21,네가 사라진 날,할런 코벤,비채,"판매지수 1,050",2023년 08월
1,22,하우스메이드,프리다 맥파든,북플라자,"판매지수 4,176",2023년 04월
1,23,"아픈 것아, 아픈 것아, 날아가라",미아키 스가루,영상출판미디어,"판매지수 3,132",2015년 12월
1,24,캣칭 파이어,수잔 콜린스,북폴리오,"판매지수 2,652",2010년 09월
1,25,복행 마을 생활 수칙,숫노루TV,북오션,판매지수 882,2023년 12월
1,26,모킹제이,수잔 콜린스,북폴리오,"판매지수 2,382",2011년 04월
1,27,지킬박사와 하이드씨,로버트 루이스 스티븐슨,문학동네,"판매지수 2,400",2009년 03월
1,28,6시 20분의 남자,데이비드 발다치,북로드,"판매지수 1,620",2023년 09월
1,29,유괴의 날,정해연,시공사,"판매지수 4,248",2019년 07월
1,30,퇴마록 국내편 2,이우혁,엘릭시르,"판매지수 2,298",2011년 09월
1,31,양들의 침묵,토머스 해리스,나무의철학,"판매지수 3,684",2023년 02월
1,32,셜록 홈즈 전집 세트,아서 코난 도일,문예춘추사,"판매지수 5,340",2012년 12월
1,33,명탐정 코난 3,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,852",1997년 02월
1,34,앨리스 죽이기,고바야시 야스미,검은숲,"판매지수 3,198",2015년 12월
1,35,명탐정 코난 8,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,496",1997년 05월
1,36,완전 부부 범죄,황세연,북다,"판매지수 1,068",2024년 01월
1,37,명탐정 코난 2,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,834",2020년 08월
1,38,재능 있는 리플리,퍼트리샤 하이스미스,을유문화사,"판매지수 1,770",2023년 10월
1,39,트와일라잇,스테프니 메이어,북폴리오,"판매지수 3,240",2008년 07월
1,40,악의 사냥,크리스 카터,북로드,판매지수 852,2023년 08월
1,41,꼭두각시 살인사건,다니엘 콜,북플라자,"판매지수 2,826",2021년 02월
1,42,메이즈 러너,제임스 대시너,문학수첩,"판매지수 3,834",2012년 07월
1,43,조각상 살인사건,다니엘 콜,북플라자,"판매지수 1,560",2022년 01월
1,44,좀비 낭군가,태재현,황금가지,판매지수 330,2023년 12월
1,45,명상 살인,카르스텐 두세,세계사,"판매지수 2,190",2021년 07월
1,46,셜록 홈즈 전집 세트,아서 코난 도일,황금가지,"판매지수 2,868",2002년 10월
1,47,명탐정 코난 4,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,102",1997년 03월
1,48,모든 것을 기억하는 남자,데이비드 발다치,북로드,"판매지수 1,404",2016년 09월
1,49,에드거 앨런 포 소설 전집,에드가 앨런 포,코너스톤(도서),"판매지수 1,500",2015년 06월
1,50,엔드게임 살인사건,다니엘 콜,북플라자,"판매지수 1,818",2022년 03월
1,51,오피스 괴담,범유진,안전가옥,"판매지수 1,260",2023년 12월
1,52,메스를 든 사냥꾼,최이도,해피북스투유,판매지수 942,2023년 11월
1,53,베러티,콜린 후버,미래지향,"판매지수 3,372",2022년 06월
1,54,마인드헌터,존 더글러스,비채,"판매지수 1,044",2017년 11월
1,55,뉴문,스테프니 메이어,북폴리오,"판매지수 2,352",2008년 07월
1,56,명탐정 코난 15,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,070",1997년 08월
1,57,살인자의 쇼핑목록,강지영,네오픽션,판매지수 912,2022년 05월
1,58,죽이기 시리즈 4종 세트,고바야시 야스미,시공사,"판매지수 1,338",2023년 09월
1,59,그렇게 할 수밖에,최도담,네오픽션,판매지수 918,2022년 12월
1,60,퇴마록 외전 : 그들이 살아가는 법,이우혁,엘릭시르,판매지수 684,2013년 06월
1,61,백설공주에게 죽음을,넬레 노이하우스,북로드,판매지수 300,2011년 02월
1,62,검은 집,기시 유스케,창해(새우와 고래),"판매지수 3,972",2004년 08월
1,63,명탐정 코난 11,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,142",1997년 08월
1,64,명탐정 코난 20,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,229",1998년 10월
1,65,명탐정 코난 14,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,118",1997년 07월
1,66,마지막 거짓말,라일리 세이거,밝은세상,판매지수 492,2023년 10월
1,67,가을비 이야기,기시 유스케,비채,판매지수 762,2023년 10월
1,68,사일런트 페이션트,알렉스 마이클리디스,해냄,판매지수 840,2019년 05월
1,69,도로시 죽이기,고바야시 야스미,검은숲,"판매지수 1,272",2018년 05월
1,70,마당이 있는 집,김진영,엘릭시르,"판매지수 1,398",2018년 04월
1,71,다빈치 코드 2,댄 브라운,문학수첩,"판매지수 2,196",2013년 12월
1,72,퇴마록 세계편 3,이우혁,엘릭시르,"판매지수 1,428",2011년 12월
1,73,STEPHEN KING 스티븐 킹 6,스티븐 킹,황금가지,판매지수 690,2004년 01월
1,74,셜록 홈즈 전집 1,아서 코난 도일,황금가지,판매지수 870,2002년 02월
1,75,프랑켄슈타인,메리 셸리,휴머니스트,"판매지수 1,509",2022년 02월
1,76,죽음은 언제나 당신과 함께,정보라,퍼플레인(갈매나무),판매지수 558,2023년 11월
1,77,망각의 도시,김동식,현대문학,판매지수 726,2023년 10월
1,78,파괴자들의 밤,서미애,안전가옥,판매지수 684,2023년 06월
1,79,아무에게도 말하지 마,할런 코벤,비채,판매지수 936,2022년 09월
1,80,링 세트,스즈키 고지,황금가지,판매지수 402,2018년 10월
1,81,러브크래프트 전집 세트,H.P. 러브크래프트,황금가지,"판매지수 1,464",2015년 11월
1,82,퇴마록 세계편 1,이우혁,엘릭시르,"판매지수 1,488",2011년 12월
1,83,명탐정 코난 22,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 1,860",1999년 04월
1,84,명탐정 코난 13,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 1,896",1997년 05월
1,85,명탐정 코난 12,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,154",1997년 02월
1,86,화禍,오다 마사쿠니,검은숲,판매지수 522,2023년 12월
1,87,붕괴하는 악마의 영토 세트,랜섬 릭스,폴라북스,판매지수 570,2023년 11월
1,88,삼국평화고등학교 테러 사건,서귤,위즈덤하우스,판매지수 654,2023년 06월
1,89,프랑켄슈타인,메리 셸리,문예출판사,"판매지수 2,064",2023년 01월
1,90,봉제인형 살인사건 시리즈 소장본 박스 세트,다니엘 콜,북플라자,"판매지수 1,572",2022년 12월
1,91,악의 심장,크리스 카터,북로드,"판매지수 1,056",2022년 03월
1,92,시인,마이클 코넬리,알에이치코리아(RHK),판매지수 696,2021년 09월
1,93,그 환자,재스퍼 드윗,시월이일,"판매지수 1,650",2020년 08월
