월,순위,제목,저자,출판사,판매지수,출판 년월
1,1,사조영웅전 1~8 세트,김용,김영사,"판매지수 3,090",2020년 07월
1,2,사조영웅전 1,김용,김영사,"판매지수 1,560",2020년 07월
1,3,사조영웅전 2,김용,김영사,"판매지수 1,020",2020년 07월
1,4,신조협려 세트,김용,김영사,"판매지수 1,638",2020년 04월
1,5,의천도룡기 세트,김용,김영사,"판매지수 1,272",2023년 10월
1,6,사조영웅전 3,김용,김영사,판매지수 558,2020년 07월
1,7,무림오적 61,백야,파피루스(디앤씨미디어),판매지수 108,2023년 12월
1,8,무당패왕 9,윤신현,로크미디어,판매지수 72,2023년 12월
1,9,절대강한 5,백보,파피루스(디앤씨미디어),판매지수 72,2023년 11월
1,10,사조영웅전 4,김용,김영사,판매지수 498,2020년 07월
1,11,천룡팔부 1~10 세트,김용,김영사,판매지수 846,2020년 05월
1,12,소오강호 세트,김용,김영사,판매지수 918,2018년 11월
1,13,창귀무쌍 4,송장벌레,로크미디어,판매지수 108,2024년 01월
1,14,절대강한 6,백보,파피루스(디앤씨미디어),판매지수 150,2023년 12월
1,15,북천전기 18,천봉,파피루스(디앤씨미디어),판매지수 84,2023년 12월
1,16,창귀무쌍 3,송장벌레,로크미디어,판매지수 60,2023년 12월
1,17,북천전기 17,천봉,파피루스(디앤씨미디어),판매지수 60,2023년 11월
1,18,창귀무쌍 1,송장벌레,로크미디어,판매지수 36,2023년 11월
1,19,절대 검감 1~10 세트,한중월야,시공사,판매지수 408,2022년 07월
1,20,북천전기 19,천봉,파피루스(디앤씨미디어),판매지수 108,2024년 01월
1,21,무당패왕 10,윤신현,로크미디어,판매지수 108,2024년 01월
1,22,무림오적 60,백야,파피루스(디앤씨미디어),판매지수 72,2023년 11월
1,23,무당패왕 8,윤신현,로크미디어,판매지수 48,2023년 11월
1,24,창귀무쌍 2,송장벌레,로크미디어,판매지수 24,2023년 11월
1,25,절대강한 4,백보,파피루스(디앤씨미디어),판매지수 84,2023년 10월
1,26,북천전기 16,천봉,파피루스(디앤씨미디어),판매지수 36,2023년 10월
1,27,천하무적 운가장 8,운천룡,로크미디어,판매지수 150,2023년 10월
1,28,무당패왕 7,윤신현,로크미디어,판매지수 48,2023년 10월
1,29,절대강한 3,백보,파피루스(디앤씨미디어),판매지수 84,2023년 09월
1,30,북천전기 15,천봉,파피루스(디앤씨미디어),판매지수 24,2023년 09월
1,31,무당패왕 6,윤신현,로크미디어,판매지수 48,2023년 08월
1,32,절대강한 2,백보,파피루스(디앤씨미디어),판매지수 72,2023년 08월
1,33,절대강한 1,백보,파피루스(디앤씨미디어),판매지수 84,2023년 08월
1,34,북천전기 14,천봉,파피루스(디앤씨미디어),판매지수 12,2023년 08월
1,35,무당패왕 5,윤신현,로크미디어,판매지수 36,2023년 08월
1,36,북천전기 13,천봉,파피루스(디앤씨미디어),판매지수 24,2023년 07월
1,37,무당패왕 4,윤신현,로크미디어,판매지수 36,2023년 07월
1,38,북천전기 12,천봉,파피루스(디앤씨미디어),판매지수 12,2023년 06월
1,39,무당패왕 3,윤신현,로크미디어,판매지수 60,2023년 06월
1,40,장야 : 야 1,묘니,메타노블,판매지수 126,2023년 05월
1,41,북천전기 11,천봉,파피루스(디앤씨미디어),판매지수 24,2023년 05월
1,42,무당패왕 2,윤신현,로크미디어,판매지수 48,2023년 05월
1,43,무당패왕 1,윤신현,로크미디어,판매지수 48,2023년 05월
1,44,북천전기 10,천봉,파피루스(디앤씨미디어),판매지수 24,2023년 04월
1,45,북천전기 9,천봉,파피루스(디앤씨미디어),N/A,2023년 03월
1,46,북천전기 8,천봉,파피루스(디앤씨미디어),판매지수 24,2023년 02월
1,47,북천전기 7,천봉,파피루스(디앤씨미디어),판매지수 24,2023년 01월
1,48,북천전기 6,천봉,파피루스(디앤씨미디어),판매지수 12,2022년 12월
1,49,북천전기 5,천봉,파피루스(디앤씨미디어),판매지수 12,2022년 11월
1,50,북천전기 3,천봉,파피루스(디앤씨미디어),판매지수 24,2022년 09월
1,51,북천전기 2,천봉,파피루스(디앤씨미디어),판매지수 24,2022년 08월
1,52,북천전기 1,천봉,파피루스(디앤씨미디어),판매지수 36,2022년 08월
1,53,천잠비룡포 22,한백림,청어람,판매지수 120,2022년 02월
1,54,천잠비룡포 21,한백림,청어람,판매지수 108,2021년 12월
1,55,녹정기 세트,김용,김영사,판매지수 684,2021년 01월
1,56,사조영웅전 8,김용,김영사,판매지수 336,2020년 07월
1,57,사조영웅전 7,김용,김영사,판매지수 336,2020년 07월
1,58,사조영웅전 6,김용,김영사,판매지수 378,2020년 07월
1,59,사조영웅전 5,김용,김영사,판매지수 378,2020년 07월
1,60,장씨세가 호위무사 제5막 세트,조형근,청어람,판매지수 216,2019년 07월
1,61,소오강호 6,김용,김영사,판매지수 120,2018년 10월
1,62,소오강호 5,김용,김영사,판매지수 174,2018년 10월
1,63,소오강호 4,김용,김영사,판매지수 198,2018년 10월
1,64,무도연지겁 3,사마령,채륜서,판매지수 60,2015년 06월
1,65,무도연지겁 2,사마령,채륜서,판매지수 72,2014년 07월
1,66,무도연지겁 1,사마령,채륜서,판매지수 84,2013년 03월
1,67,묵향 23,전동조,스카이BOOK,판매지수 462,2007년 12월
1,68,암왕 2,장경,로크미디어,판매지수 12,2007년 10월
1,69,무림오적 62,백야,파피루스(디앤씨미디어),판매지수 84,2024년 01월
1,70,하북팽가 검술천재 23,이도훈,로크미디어,판매지수 96,2024년 01월
1,71,하북팽가 검술천재 22,이도훈,로크미디어,판매지수 84,2023년 12월
1,72,하북팽가 검술천재 21,이도훈,로크미디어,판매지수 36,2023년 11월
1,73,의천도룡기 8,김용,김영사,판매지수 222,2023년 10월
1,74,의천도룡기 2,김용,김영사,판매지수 150,2023년 10월
1,75,의천도룡기 1,김용,김영사,판매지수 198,2023년 10월
1,76,은해상단 막내아들 5,향란,파피루스(디앤씨미디어),판매지수 48,2023년 10월
1,77,하북팽가 검술천재 20,이도훈,로크미디어,판매지수 12,2023년 10월
1,78,은해상단 막내아들 4,향란,파피루스(디앤씨미디어),판매지수 60,2023년 09월
1,79,하북팽가 검술천재 19,이도훈,로크미디어,판매지수 24,2023년 09월
1,80,악가의 무신 10,서준백,로크미디어,N/A,2023년 09월
1,81,천하무적 운가장 7,운천룡,로크미디어,판매지수 72,2023년 09월
1,82,은해상단 막내아들 3,향란,파피루스(디앤씨미디어),판매지수 48,2023년 08월
1,83,하북팽가 검술천재 18,이도훈,로크미디어,판매지수 12,2023년 08월
1,84,악가의 무신 9,서준백,로크미디어,N/A,2023년 08월
1,85,천하무적 운가장 6,운천룡,로크미디어,판매지수 60,2023년 08월
1,86,일편독심 3,천사같은,씨큐브(느낌이있는책),판매지수 60,2023년 08월
1,87,일편독심 2,천사같은,씨큐브(느낌이있는책),판매지수 60,2023년 08월
1,88,일편독심 1,천사같은,씨큐브(느낌이있는책),판매지수 72,2023년 08월
1,89,장야 : 야 4,묘니,메타노블,판매지수 126,2023년 07월
1,90,장야 : 야 3,묘니,메타노블,판매지수 126,2023년 07월
1,91,은해상단 막내아들 2,향란,파피루스(디앤씨미디어),판매지수 48,2023년 07월
1,92,은해상단 막내아들 1,향란,파피루스(디앤씨미디어),판매지수 96,2023년 07월
1,93,악가의 무신 8,서준백,로크미디어,N/A,2023년 07월
1,94,무인환생 8,윤신현,로크미디어,판매지수 12,2023년 07월
1,95,악가의 무신 7,서준백,로크미디어,N/A,2023년 06월
1,96,무인환생 7,윤신현,로크미디어,판매지수 12,2023년 06월
1,97,장야 : 야 2,묘니,메타노블,판매지수 90,2023년 05월
1,98,악가의 무신 6,서준백,로크미디어,N/A,2023년 05월
1,99,무인환생 6,윤신현,로크미디어,판매지수 12,2023년 05월
1,100,악가의 무신 5,서준백,로크미디어,N/A,2023년 04월
2,1,사조영웅전 1~8 세트,김용,김영사,"판매지수 3,090",2020년 07월
2,2,사조영웅전 1,김용,김영사,"판매지수 1,560",2020년 07월
2,3,신조협려 세트,김용,김영사,"판매지수 1,638",2020년 04월
2,4,의천도룡기 세트,김용,김영사,"판매지수 1,272",2023년 10월
2,5,소오강호 세트,김용,김영사,판매지수 918,2018년 11월
2,6,사조영웅전 5,김용,김영사,판매지수 378,2020년 07월
2,7,천룡팔부 1~10 세트,김용,김영사,판매지수 846,2020년 05월
2,8,사조영웅전 2,김용,김영사,"판매지수 1,020",2020년 07월
2,9,절대 검감 10,한중월야,시공사,판매지수 312,2022년 07월
2,10,절대 검감 5,한중월야,시공사,판매지수 342,2022년 07월
2,11,절대 검감 2,한중월야,시공사,판매지수 318,2022년 07월
2,12,사조영웅전 6,김용,김영사,판매지수 378,2020년 07월
2,13,사조영웅전 4,김용,김영사,판매지수 498,2020년 07월
2,14,소오강호 1,김용,김영사,판매지수 204,2018년 10월
2,15,무당패왕 11,윤신현,로크미디어,판매지수 96,2024년 02월
2,16,절대강한 7,백보,파피루스(디앤씨미디어),판매지수 72,2024년 02월
2,17,창룡군림 2,북미혼,파피루스(디앤씨미디어),판매지수 84,2024년 01월
2,18,창룡군림 1,북미혼,파피루스(디앤씨미디어),판매지수 138,2024년 01월
2,19,무림오적 62,백야,파피루스(디앤씨미디어),판매지수 84,2024년 01월
2,20,무당패왕 10,윤신현,로크미디어,판매지수 108,2024년 01월
2,21,천하무적 운가장 8,운천룡,로크미디어,판매지수 150,2023년 10월
2,22,천하무적 운가장 7,운천룡,로크미디어,판매지수 72,2023년 09월
2,23,천하무적 운가장 6,운천룡,로크미디어,판매지수 60,2023년 08월
2,24,천하무적 운가장 5,운천룡,로크미디어,판매지수 60,2023년 07월
2,25,천하무적 운가장 4,운천룡,로크미디어,판매지수 60,2023년 06월
2,26,천하무적 운가장 3,운천룡,로크미디어,판매지수 60,2023년 05월
2,27,천하무적 운가장 2,운천룡,로크미디어,판매지수 60,2023년 04월
2,28,천하무적 운가장 1,운천룡,로크미디어,판매지수 60,2023년 04월
2,29,환생표사 1,신갈나무,위시북스,판매지수 324,2022년 12월
2,30,절대 검감 8,한중월야,시공사,판매지수 276,2022년 07월
2,31,절대 검감 6,한중월야,시공사,판매지수 306,2022년 07월
2,32,절대 검감 1,한중월야,시공사,판매지수 306,2022년 07월
2,33,천잠비룡포 22,한백림,청어람,판매지수 120,2022년 02월
2,34,천잠비룡포 21,한백림,청어람,판매지수 108,2021년 12월
2,35,천잠비룡포 20,한백림,청어람,판매지수 96,2021년 12월
2,36,천잠비룡포 19,한백림,청어람,판매지수 96,2021년 10월
2,37,천잠비룡포 18,한백림,청어람,판매지수 96,2021년 09월
2,38,천잠비룡포 17,한백림,청어람,판매지수 84,2021년 09월
2,39,천잠비룡포 16,한백림,청어람,판매지수 84,2021년 08월
2,40,천잠비룡포 15,한백림,청어람,판매지수 108,2021년 07월
2,41,장씨세가 호위무사 제1막 1~3 세트,조형근,청어람,판매지수 366,2020년 08월
2,42,사조영웅전 8,김용,김영사,판매지수 336,2020년 07월
2,43,사조영웅전 7,김용,김영사,판매지수 336,2020년 07월
2,44,사조영웅전 3,김용,김영사,판매지수 558,2020년 07월
2,45,천룡팔부 10,김용,김영사,판매지수 60,2020년 05월
2,46,군림천하 31,용대운,파피루스(디앤씨미디어),판매지수 72,2016년 02월
2,47,군림천하 22,용대운,파피루스(디앤씨미디어),판매지수 48,2012년 05월
2,48,군림천하 5,용대운,파피루스(디앤씨미디어),판매지수 108,2012년 05월
2,49,군림천하 4,용대운,파피루스(디앤씨미디어),판매지수 72,2012년 05월
2,50,군림천하 3,용대운,파피루스(디앤씨미디어),판매지수 84,2012년 05월
2,51,군림천하 2,용대운,파피루스(디앤씨미디어),판매지수 96,2012년 05월
2,52,군림천하 1,용대운,파피루스(디앤씨미디어),판매지수 204,2012년 05월
