월,순위,제목,저자,출판사,판매지수,출판 년월
1,1,살인자의 쇼핑몰,강지영,자음과모음,"판매지수 16,326",2020년 02월
1,2,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,"판매지수 19,443",2023년 07월
1,3,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월
1,4,살인자의 쇼핑몰 2,강지영,자음과모음,"판매지수 13,248",2023년 07월
1,5,용의자 X의 헌신,히가시노 게이고,재인,"판매지수 48,414",2017년 08월
1,6,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월
1,7,악의,히가시노 게이고,현대문학,"판매지수 30,816",2019년 07월
1,8,세상 끝의 살인,아라키 아카네,북스피어,"판매지수 4,332",2023년 12월
1,9,라플라스의 마녀,히가시노 게이고,현대문학,"판매지수 18,531",2016년 01월
1,10,가면산장 살인사건,히가시노 게이고,재인,"판매지수 16,269",2014년 09월
1,11,그리고 아무도 없었다,애거사 크리스티,황금가지,"판매지수 24,378",2013년 12월
1,12,카지노,김진명,새움,"판매지수 20,130",2022년 12월
1,13,페어워닝,마이클 코넬리,알에이치코리아(RHK),"판매지수 4,422",2024년 01월
1,14,백광,렌죠 미키히코,모모,"판매지수 13,392",2022년 02월
1,15,매스커레이드 게임,히가시노 게이고,현대문학,"판매지수 5,460",2023년 06월
1,16,명탐정의 창자,시라이 토모유키,내친구의서재,"판매지수 4,584",2024년 01월
1,17,코너스톤 셜록 홈즈 전집,아서 코난 도일,코너스톤(도서),"판매지수 17,406",2016년 01월
1,18,그리고 아무도 없었다,애거사 크리스티,해문출판사,"판매지수 8,622",2002년 05월
1,19,[예스리커버] 셜록 홈즈 전집 세트,아서 코난 도일,문예춘추사,"판매지수 5,484",2022년 05월
1,20,이토록 완벽한 실종,줄리안 맥클린,해피북스투유,"판매지수 3,600",2023년 12월
1,21,[예스리커버] 트로피컬 나이트,조예은,한겨레출판,"판매지수 10,269",2023년 08월
1,22,레이크사이드,히가시노 게이고,하빌리스,"판매지수 3,942",2023년 08월
1,23,하쿠바산장 살인사건,히가시노 게이고,알에이치코리아(RHK),"판매지수 5,868",2020년 04월
1,24,사선을 걷는 남자,데이비드 발다치,북로드,"판매지수 3,252",2023년 11월
1,25,매스커레이드 호텔,히가시노 게이고,현대문학,"판매지수 3,630",2012년 07월
1,26,갈까마귀 살인사건,다니엘 콜,북플라자,"판매지수 3,750",2023년 12월
1,27,치유를 파는 찻집,모리사와 아키오,북플라자,"판매지수 3,972",2023년 08월
1,28,곰탕 1,김영탁,arte(아르테),"판매지수 8,796",2018년 03월
1,29,매스커레이드 이브,히가시노 게이고,현대문학,"판매지수 3,060",2015년 08월
1,30,돌이킬 수 있는,문목하,아작,"판매지수 21,552",2018년 12월
1,31,13.67,찬호께이,한스미디어,"판매지수 12,468",2023년 01월
