월,순위,제목,저자,출판사,판매지수,출판 년월
1,1,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,"판매지수 28,656",2023년 11월
1,2,말하고 싶은 비밀,사쿠라 이이요,모모,"판매지수 37,827",2023년 12월
1,3,위시,니콜라스 스파크스,모모,"판매지수 11,676",2023년 12월
1,4,봄그늘 1~5 세트,김차차,파란 (파란미디어),"판매지수 5,916",2024년 02월
1,5,나와 너의 365일,유이하,모모,"판매지수 17,976",2023년 03월
1,6,재와 물거품,김청귤,안전가옥,"판매지수 18,366",2021년 05월
1,7,이번 생은 가주가 되겠습니다 1~5 세트,김로아,디앤씨미디어(D&C미디어),"판매지수 3,780",2024년 01월
1,8,해피엔딩에서 너를 기다릴게,산다 치에,알에이치코리아(RHK),"판매지수 13,239",2023년 01월
1,9,"나는 내일, 어제의 너와 만난다",나나츠키 타카후미,영상출판미디어,"판매지수 10,890",2016년 02월
1,10,너는 달밤에 빛나고,사노 테츠야,디앤씨미디어(D&C미디어),"판매지수 9,828",2018년 04월
1,11,너의 췌장을 먹고 싶어 (일반판),스미노 요루,소미미디어,"판매지수 11,436",2017년 04월
1,12,이토록 완벽한 실종,줄리안 맥클린,해피북스투유,"판매지수 3,600",2023년 12월
1,13,"거짓말이 보이는 나는, 솔직한 너에게 사랑을 했다",사쿠라이 미나,제우미디어,"판매지수 5,652",2019년 08월
1,14,너와 만날 수 있었던 4%의 기적,히로세 미이,제우미디어,"판매지수 4,644",2019년 05월
1,15,그것은 벚꽃 같은 사랑이었다,히로세 미이,제우미디어,"판매지수 2,724",2019년 03월
1,16,"블루문이 뜨는 밤, 다시 한번 그녀를 사랑하게 됐다",히로세 미이,제우미디어,"판매지수 1,416",2023년 11월
1,17,세이렌 5 북케이스 세트,설이수,YOUNGCOM(영컴),"판매지수 1,008",2024년 01월
1,18,"고수, 후궁으로 깨어나다 박스 세트",코양희,블라썸,판매지수 792,2024년 01월
1,19,여름의 너에게 겨울에 내가 갈게,닌겐 로쿠도,북폴리오,"판매지수 2,280",2023년 07월
1,20,나는 너에게 10년 치의 『    』을 전하고 싶어,아마노 아타루,제우미디어,"판매지수 2,172",2019년 10월
1,21,옷소매 붉은 끝동 세트,강미강,청어람,"판매지수 1,680",2022년 06월
1,22,"빨강, 파랑, 어쨌든 찬란",케이시 맥퀴스턴,살림출판사,"판매지수 1,758",2021년 07월
1,23,우리 집에는 쥐가 있다,김수지,오후,"판매지수 1,374",2023년 10월
1,24,너의 췌장을 먹고 싶어 (노블판),스미노 요루,소미미디어,"판매지수 2,658",2017년 03월
1,25,그 여름의 끝에 네가 죽으면 완벽했기 때문에,샤센도 유키,토마토출판사,"판매지수 1,740",2023년 09월
1,26,"어느 날, 너의 심장이 멈출 거라 말했다",클로에 윤,팩토리나인,"판매지수 1,986",2021년 12월
1,27,벽사아씨전,박에스더,안전가옥,"판매지수 1,344",2023년 09월
1,28,누군가 내 몸에 빙의했다 세트,신솔라,연담,판매지수 360,2023년 07월
1,29,재혼황후 8 + 미공개 외전 세트,알파타르트,해피북스투유,"판매지수 2,160",2022년 12월
1,30,러브 레터,이와이 슌지,하빌리스,"판매지수 2,130",2022년 11월
1,31,세상은 『    』로 가득 차 있다,사쿠라 이이요,제우미디어,판매지수 612,2020년 01월
1,32,점괘보는 공녀님 1~5 세트,사이딘,마롱,"판매지수 1,212",2023년 12월
1,33,"비록, 닿을 수 없는 너의 세상일지라도",미아키 스가루,팩토리나인,"판매지수 1,968",2023년 03월
1,34,시간의 계단 2,주영하,블라썸,"판매지수 2,544",2019년 02월
1,35,시간의 계단 1,주영하,블라썸,"판매지수 2,850",2019년 02월
1,36,세이렌 5,설이수,YOUNGCOM(영컴),판매지수 564,2024년 01월
1,37,일주일 만에 사랑할 순 없다,김동식,요다,"판매지수 4,278",2020년 03월
1,38,낙원의 이론 1,정선우,파란 (파란미디어),"판매지수 2,526",2019년 07월
1,39,"그 여름, 나는",최수현,가하,"판매지수 1,332",2018년 01월
1,40,재혼황후 7,알파타르트,해피북스투유,"판매지수 1,428",2022년 04월
