월,순위,제목,저자,출판사,판매지수,출판 년월
1,1,지구 끝의 온실,김초엽,자이언트북스,"판매지수 57,006",2021년 08월
1,2,[예스리커버] 우리가 빛의 속도로 갈 수 없다면,김초엽,허블,"판매지수 53,538",2019년 06월
1,3,천 개의 파랑,천선란,허블,"판매지수 55,245",2020년 08월
1,4,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"판매지수 60,555",2021년 05월
1,5,꿀벌의 예언 2,베르나르 베르베르,열린책들,"판매지수 13,176",2023년 06월
1,6,꿀벌의 예언 1,베르나르 베르베르,열린책들,"판매지수 13,170",2023년 06월
1,7,심판,베르나르 베르베르,열린책들,"판매지수 17,298",2020년 08월
1,8,듄의 세계,톰 허들스턴,황금가지,"판매지수 6,672",2024년 01월
1,9,당신 인생의 이야기 (리커버),테드 창,엘리,"판매지수 7,236",2020년 01월
1,10,저주토끼,정보라,래빗홀,"판매지수 25,566",2023년 04월
1,11,미키7 소설 세트,에드워드 애슈턴,황금가지,"판매지수 8,538",2023년 11월
1,12,삼체 1~3 세트,류츠신,자음과모음,"판매지수 112,236",2024년 06월
1,13,듄 신장판 전집 세트,프랭크 허버트,황금가지,"판매지수 28,932",2021년 01월
1,14,화씨 451,레이 브래드버리,황금가지,"판매지수 11,304",2009년 03월
1,15,수확자,닐 셔스터먼,열린책들,"판매지수 8,778",2023년 02월
1,16,지구 생물체는 항복하라,정보라,래빗홀,"판매지수 10,866",2024년 01월
1,17,당신 인생의 이야기,테드 창,엘리,"판매지수 19,269",2016년 10월
1,18,마션,앤디 위어,알에이치코리아(RHK),"판매지수 13,500",2021년 05월
1,19,수확자 시리즈 세트,닐 셔스터먼,열린책들,"판매지수 9,018",2023년 02월
1,20,숨,테드 창,엘리,"판매지수 10,953",2019년 05월
1,21,파피용,베르나르 베르베르,열린책들,"판매지수 4,074",2023년 12월
1,22,돌이킬 수 있는,문목하,아작,"판매지수 21,552",2018년 12월
1,23,미키7,에드워드 애슈턴,황금가지,"판매지수 5,052",2022년 07월
1,24,종이 동물원,켄 리우,황금가지,"판매지수 7,821",2018년 11월
1,25,제노사이드,다카노 가즈아키,황금가지,"판매지수 10,833",2012년 06월
1,26,이끼숲,천선란,자이언트북스,"판매지수 9,246",2023년 05월
1,27,[예스리커버] 천 개의 파랑,천선란,허블,"판매지수 3,798",2022년 11월
1,28,어떤 물질의 사랑,천선란,아작,"판매지수 7,071",2020년 07월
1,29,그러나 누군가는 더 검은 밤을 원한다,우다영,문학과지성사,"판매지수 2,106",2023년 12월
1,30,종의 기원담,김보영,아작,"판매지수 8,652",2023년 06월
1,31,듄 신장판 1,프랭크 허버트,황금가지,"판매지수 18,270",2021년 01월
1,32,안드로이드는 전기양의 꿈을 꾸는가?,필립 K. 딕,폴라북스,"판매지수 6,228",2013년 09월
1,33,미키7 : 반물질의 블루스,에드워드 애슈턴,황금가지,"판매지수 2,454",2023년 11월
1,34,은하수를 여행하는 히치하이커를 위한 안내서 합본,더글러스 애덤스,책세상,"판매지수 8,313",2005년 12월
1,35,은하수를 여행하는 히치하이커를 위한 안내서 1,더글러스 애덤스,책세상,"판매지수 10,500",2004년 12월
1,36,화성과 나,배명훈,래빗홀,"판매지수 1,680",2023년 11월
1,37,다섯 번째 감각,김보영,아작,"판매지수 4,269",2022년 02월
1,38,라스트 젤리 샷,청예,허블,"판매지수 2,757",2023년 08월
1,39,선더헤드,닐 셔스터먼,열린책들,"판매지수 2,712",2023년 02월
1,40,미래로 가는 사람들,김보영,새파란상상 (파란미디어),"판매지수 3,954",2020년 05월
1,41,80일간의 세계 일주,쥘 베른,열린책들,"판매지수 2,214",2010년 12월
1,42,고양이 2,베르나르 베르베르,열린책들,"판매지수 2,112",2018년 05월
1,43,로즈웰 가는 길,코니 윌리스,아작,판매지수 936,2024년 02월
1,44,미래과거시제,배명훈,북하우스,"판매지수 1,824",2023년 03월
1,45,쿼런틴,그렉 이건,허블,"판매지수 5,010",2022년 12월
