Month,Title,Author,Publisher,Publish_Date,Category
9,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,mystery
9,백설공주에게 죽음을,넬레 노이하우스,북로드,2024.05.24,mystery
9,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
9,아이가 없는 집,알렉스 안도릴,필름(Feelm),2024.06.12,mystery
9,데뷔 못 하면 죽는 병 걸림 3부 초판 한정 굿즈박스 세트,백덕수,위시북스,2024.12.08,fantasy
9,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
9,사랑 후에 오는 것들 세트,공지영 외,소담출판사,2024.08.15,romance
9,프로젝트 헤일메리(리커버:K),앤디 위어,알에이치코리아,2024.06.30,sf
9,가연물,요네자와 호노부,리드비,2024.08.28,mystery
9,천 개의 파랑,천선란,허블,2020.08.19,sf
9,카스트라토: 거세당한 자,표창원,&(앤드),2024.09.15,mystery
9,남은 인생 10년,고사카 루카,모모,2024.03.22,romance
9,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
9,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
9,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
9,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
9,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
9,카지노,김진명,새움,2022.12.13,mystery
9,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
5,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
5,내일의 으뜸,김빵,다향,2024.05.24,fantasy
5,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
5,프로젝트 헤일메리,앤디 위어,알에이치코리아,2021.05.04,sf
5,남은 인생 10년,고사카 루카,모모,2024.03.22,romance
5,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
5,룬의 아이들 블러디드 7,전민희,엘릭시르,2024.05.30,fantasy
5,천 개의 파랑,천선란,허블,2020.08.19,sf
5,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
5,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아,2024.03.02,mystery
5,미 비포 유(Me Before You),조조 모예스,다산책방,2024.04.25,romance
5,메리골드 마음 사진관,윤정은,북로망스,2024.01.12,fantasy
5,전지적 독자 시점 아트북 에디션 2,싱숑,비채,2024.05.29,fantasy
5,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
5,종의 기원담,김보영,아작,2023.06.14,sf
5,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
5,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
5,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
7,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,mystery
7,아이가 없는 집,알렉스 안도릴,필름(Feelm),2024.06.12,mystery
7,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
7,프로젝트 헤일메리(리커버:K),앤디 위어,알에이치코리아,2024.06.30,sf
7,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
7,십계,유키 하루오,블루홀식스(블루홀6),2024.07.08,mystery
7,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
7,돌이킬 수 있는,문목하,아작,2018.12.05,mystery
7,오렌지와 빵칼,청예,허블,2024.07.17,mystery
7,적산가옥의 유령,조예은,현대문학,2024.06.25,mystery
7,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
7,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
7,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
7,천 개의 파랑,천선란,허블,2020.08.19,sf
7,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
7,약사의 혼잣말 14,휴우가 나츠,학산문화사,2024.07.10,fantasy
7,내일의 으뜸,김빵,다향,2024.05.24,fantasy
7,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
11,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,mystery
11,영원한 천국,정유정,은행나무,2024.08.28,history
11,천 개의 파랑,천선란,허블,2020.08.19,sf
11,종의 기원,정유정,은행나무,2016.05.16,sf
11,리버 1,오쿠다 히데오,은행나무,2024.11.01,mystery
11,사랑 후에 오는 것들 세트,공지영 외,소담출판사,2024.08.15,romance
11,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
