Month,순위,제목,저자,출판사,판매지수,출판 년월,Genre
1,1,메리골드 마음 사진관,윤정은,북로망스,"판매지수 58,089",2024년 01월,Fantasy
1,2,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 133,161",2022년 05월,Fantasy
1,3,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,"판매지수 28,656",2023년 11월,Romance
1,4,해리포터와 마법사의 돌 1,J.K. 롤링,문학수첩,"판매지수 35,988",2019년 11월,Fantasy
1,5,수상한 한의원,배명은,텍스티(TXTY),"판매지수 35,157",2024년 01월,Fantasy
1,6,살인자의 쇼핑몰,강지영,자음과모음,"판매지수 16,326",2020년 02월,Mystery
1,7,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,"판매지수 19,443",2023년 07월,Mystery
1,8,요괴어사 2,설민석,단꿈아이,"판매지수 14,124",2023년 12월,Fantasy
1,9,달러구트 꿈 백화점,이미예,팩토리나인,"판매지수 59,394",2020년 07월,Fantasy
1,10,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월,Mystery
1,11,해리포터와 마법사의 돌 2,J.K. 롤링,문학수첩,"판매지수 30,108",2019년 11월,Fantasy
1,12,달러구트 꿈 백화점 2,이미예,팩토리나인,"판매지수 40,743",2021년 07월,Fantasy
1,13,살인자의 쇼핑몰 2,강지영,자음과모음,"판매지수 13,248",2023년 07월,Mystery
1,14,말하고 싶은 비밀,사쿠라 이이요,모모,"판매지수 37,827",2023년 12월,Romance
1,15,지구 끝의 온실,김초엽,자이언트북스,"판매지수 57,006",2021년 08월,SF
1,16,고려거란전쟁 (상),길승수,들녘,"판매지수 6,618",2023년 11월,History
1,17,용의자 X의 헌신,히가시노 게이고,재인,"판매지수 48,414",2017년 08월,Mystery
1,18,위시,니콜라스 스파크스,모모,"판매지수 11,676",2023년 12월,Romance
1,19,봄그늘 1~5 세트,김차차,파란 (파란미디어),"판매지수 5,916",2024년 02월,Romance
1,20,[예스리커버] 우리가 빛의 속도로 갈 수 없다면,김초엽,허블,"판매지수 53,538",2019년 06월,SF
1,21,고려거란전쟁 (하),길승수,들녘,"판매지수 6,234",2023년 11월,History
1,22,천 개의 파랑,천선란,허블,"판매지수 55,245",2020년 08월,SF
1,23,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"판매지수 60,555",2021년 05월,SF
1,24,해리포터와 비밀의 방 1,J.K. 롤링,문학수첩,"판매지수 19,068",2019년 11월,Fantasy
1,25,요괴어사,설민석,단꿈아이,"판매지수 7,512",2023년 04월,Fantasy
1,26,해리포터와 비밀의 방 2,J.K. 롤링,문학수첩,"판매지수 17,712",2019년 11월,Fantasy
1,27,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월,Mystery
1,28,해리 포터와 아즈카반의 죄수 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 21,231",2023년 10월,Fantasy
1,29,꿀벌의 예언 2,베르나르 베르베르,열린책들,"판매지수 13,176",2023년 06월,SF
1,30,악의,히가시노 게이고,현대문학,"판매지수 30,816",2019년 07월,Mystery
1,31,꿀벌의 예언 1,베르나르 베르베르,열린책들,"판매지수 13,170",2023년 06월,SF
1,32,심판,베르나르 베르베르,열린책들,"판매지수 17,298",2020년 08월,SF
1,33,나와 너의 365일,유이하,모모,"판매지수 17,976",2023년 03월,Romance
1,34,해리 포터 마법 연감,J.K. 롤링,문학수첩,"판매지수 12,876",2023년 12월,Fantasy
1,35,세상 끝의 살인,아라키 아카네,북스피어,"판매지수 4,332",2023년 12월,Mystery
1,36,해리포터와 아즈카반의 죄수 2,J.K. 롤링,문학수첩,"판매지수 13,218",2019년 11월,Fantasy
1,37,해리포터와 아즈카반의 죄수 1,J.K. 롤링,문학수첩,"판매지수 13,632",2019년 11월,Fantasy
1,38,전지적 독자 시점 PART 1 - 01,싱숑,비채,"판매지수 19,179",2022년 01월,Fantasy
