Month,Rank,Title,Author,Publisher,Sales Point,Publication Month
1월,1,이처럼 사소한 것들,클레어 키건,다산책방,"236,370",2023년 11월
1월,3,맡겨진 소녀,클레어 키건,다산책방,"86,363",2023년 4월
1월,4,사라진 것들,앤드루 포터,문학동네,"25,970",2024년 1월
1월,5,아주 희미한 빛으로도,최은영,문학동네,"79,454",2023년 8월
1월,6,메리골드 마음 사진관,윤정은,북로망스,"19,193",2024년 1월
1월,7,도시와 그 불확실한 벽,무라카미 하루키,문학동네,세일즈 포인트 정보 없음,2023년 9월
1월,8,황금종이 1,조정래,해냄,"29,287",2023년 11월
1월,9,황금종이 2,조정래,해냄,"27,158",2023년 11월
1월,10,트러스트,에르난 디아스,문학동네,"19,691",2023년 2월
1월,11,마지막 마음이 들리는 공중전화,이수연,클레이하우스,"10,972",2024년 1월
1월,12,작은 책방,엘리너 파전,수박설탕,세일즈 포인트 정보 없음,2023년 12월
1월,13,봄그늘 1~5 세트 - 전5권,김차차,파란(파란미디어),"1,988",2024년 2월
1월,14,모순,양귀자,쓰다,"165,396",2013년 4월
1월,17,구의 증명,최진영,은행나무,"70,465",2023년 4월
1월,19,메리골드 마음 세탁소 (30만 부 기념 한정 플라워 에디션),윤정은,북로망스,"35,122",2023년 3월
1월,20,데미안 (오리지널 초판본 표지디자인),헤르만 헤세,코너스톤,"93,420",2017년 1월
1월,21,세상 끝의 살인,아라키 아카네,북스피어,세일즈 포인트 정보 없음,2023년 12월
1월,22,살인자의 쇼핑몰,강지영,자음과모음,"6,278",2020년 2월
1월,23,전생했더니 슬라임이었던 건에 대하여 21,후세,㈜소미미디어,세일즈 포인트 정보 없음,2024년 1월
1월,24,해리 포터와 마법사의 돌 (미나리마 에디션),J.K. 롤링,문학수첩,"28,474",2020년 10월
1월,25,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,세일즈 포인트 정보 없음,2023년 11월
1월,28,인간 실격,다자이 오사무,민음사,"81,492",2004년 5월
1월,29,귀신들의 땅,천쓰홍,민음사,세일즈 포인트 정보 없음,2023년 12월
1월,30,작별하지 않는다,한강,문학동네,"1,025,288",2021년 9월
1월,31,페어워닝,마이클 코넬리,알에이치코리아(RHK),세일즈 포인트 정보 없음,2024년 1월
1월,32,데미안,헤르만 헤세,민음사,"103,297",2000년 12월
1월,33,말하고 싶은 비밀,사쿠라 이이요,모모,"18,718",2023년 12월
1월,34,각각의 계절 (리커버 에디션),권여선,문학동네,세일즈 포인트 정보 없음,2023년 5월
1월,35,살인자의 쇼핑몰 2,강지영,자음과모음,"5,140",2023년 7월
1월,36,듄의 세계,톰 허들스턴,황금가지,"5,994",2024년 1월
1월,37,부처스 크로싱,존 윌리엄스,구픽,"9,633",2023년 8월
1월,38,바다가 들리는 편의점 (겨울 한정판 에디션),마치다 소노코,모모,세일즈 포인트 정보 없음,2023년 11월
1월,39,파견자들,김초엽,퍼블리온,"21,820",2023년 10월
1월,40,단 한 사람,최진영,한겨레출판,세일즈 포인트 정보 없음,2023년 9월
1월,41,아침 그리고 저녁,욘 포세,문학동네,"32,482",2019년 7월
1월,42,미들마치 1,조지 엘리엇,민음사,"4,186",2024년 1월
1월,43,아버지의 해방일지 (30만부 기념 특별 리커버),정지아,창비,"13,140",2022년 9월
1월,44,7인 1역,렌조 미키히코,모모,세일즈 포인트 정보 없음,2023년 12월
1월,45,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,"44,389",2021년 6월
1월,46,광인,이혁진,민음사,"14,256",2023년 11월
1월,47,지루하면 죽는다,조나 레러,윌북,세일즈 포인트 정보 없음,2023년 12월
1월,48,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,세일즈 포인트 정보 없음,2018년 6월
1월,49,파친코 (합본 한정판),이민진,인플루엔셜(주),"15,949",2023년 12월
1월,50,소설 보다 : 겨울 2023,김기태,문학과지성사,"7,979",2023년 12월
1월,51,밝은 밤,최은영,문학동네,"50,439",2021년 7월
1월,52,해리 포터와 아즈카반의 죄수 (미나리마 에디션),J.K. 롤링,문학수첩,세일즈 포인트 정보 없음,2023년 10월
1월,53,불편한 편의점 (벚꽃 에디션),김호연,나무옆의자,"186,097",2021년 4월
