월,순위,제목,저자,출판사,판매지수,출판 년월
1,1,이처럼 사소한 것들,클레어 키건,다산책방,"판매지수 461,415",2023년 11월
1,2,황금종이 1,조정래,해냄,"판매지수 63,684",2023년 11월
1,3,황금종이 2,조정래,해냄,"판매지수 61,890",2023년 11월
1,4,맡겨진 소녀,클레어 키건,다산책방,"판매지수 150,927",2023년 04월
1,5,아주 희미한 빛으로도,최은영,문학동네,"판매지수 97,425",2023년 08월
1,6,모순,양귀자,쓰다,"판매지수 419,727",2013년 04월
1,7,구의 증명,최진영,은행나무,"판매지수 179,619",2023년 04월
1,8,도시와 그 불확실한 벽,무라카미 하루키,문학동네,"판매지수 71,547",2023년 09월
1,9,트러스트,에르난 디아스,문학동네,"판매지수 47,856",2023년 02월
1,10,메리골드 마음 사진관,윤정은,북로망스,"판매지수 58,368",2024년 01월
1,11,불편한 편의점,김호연,나무옆의자,"판매지수 145,920",2021년 04월
1,12,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,"판매지수 92,118",2018년 06월
1,13,인간 실격,다자이 오사무,민음사,"판매지수 126,288",2004년 05월
1,14,바다가 들리는 편의점 합본 (홀리데이 에디션),마치다 소노코,모모,"판매지수 36,615",2023년 11월
1,15,작별하지 않는다,한강,문학동네,"판매지수 2,177,490",2021년 09월
1,16,어린 왕자 오리지널 초판본,앙투안 드 생텍쥐페리,코너스톤(도서),"판매지수 125,037",2020년 09월
1,17,불편한 편의점 2,김호연,나무옆의자,"판매지수 101,961",2022년 08월
1,18,메리골드 마음 세탁소,윤정은,북로망스,"판매지수 55,524",2023년 03월
1,19,데미안,헤르만 헤세,민음사,"판매지수 138,279",2000년 12월
1,20,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 131,535",2022년 05월
1,21,구름에 달 가리운 방금 전까지 인간이었다,미야베 미유키,북스피어,"판매지수 13,092",2024년 01월
1,22,아버지의 해방일지,정지아,창비,"판매지수 65,064",2022년 09월
1,23,모비딕,허먼 멜빌,현대지성,"판매지수 29,406",2022년 09월
1,24,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,"판매지수 74,346",2021년 06월
1,25,사라진 것들,앤드루 포터,문학동네,"판매지수 28,590",2024년 01월
1,26,데미안 : 오리지널 초판본 표지디자인,헤르만 헤세,코너스톤(도서),"판매지수 73,245",2017년 01월
1,27,이방인,알베르 까뮈,민음사,"판매지수 76,038",2011년 03월
1,28,각각의 계절,권여선,문학동네,"판매지수 20,763",2023년 05월
1,29,아침 그리고 저녁,욘 포세,문학동네,"판매지수 32,949",2019년 07월
1,30,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,"판매지수 28,920",2023년 11월
1,31,파과,구병모,위즈덤하우스,"판매지수 13,884",2018년 04월
1,32,해리포터와 마법사의 돌 1,J.K. 롤링,문학수첩,"판매지수 35,604",2019년 11월
1,33,수상한 한의원,배명은,텍스티(TXTY),"판매지수 34,788",2024년 01월
1,34,살인자의 쇼핑몰,강지영,자음과모음,"판매지수 16,296",2020년 02월
1,35,단 한 사람,최진영,한겨레출판,"판매지수 28,614",2023년 09월
1,36,부처스 크로싱,존 윌리엄스,구픽,"판매지수 14,652",2023년 09월
1,37,"어느 날, 내 죽음에 네가 들어왔다",세이카 료겐,모모,"판매지수 47,094",2022년 05월
1,38,싯다르타,헤르만 헤세,민음사,"판매지수 80,934",2002년 01월
1,39,노르웨이의 숲,무라카미 하루키,민음사,"판매지수 67,848",2017년 08월
1,40,스토너,존 윌리엄스,알에이치코리아(RHK),"판매지수 35,862",2015년 01월
1,41,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,"판매지수 18,807",2023년 07월
1,42,요괴어사 2,설민석,단꿈아이,"판매지수 13,698",2023년 12월
1,43,달러구트 꿈 백화점,이미예,팩토리나인,"판매지수 57,615",2020년 07월
1,44,한국단편소설 40,성낙수,리베르,"판매지수 47,373",2012년 11월
1,45,파견자들,김초엽,퍼블리온,"판매지수 27,864",2023년 10월
1,46,소년이 온다,한강,창비,"판매지수 3,724,404",2014년 05월
1,47,1984,조지 오웰,민음사,"판매지수 86,292",2003년 06월
1,48,밝은 밤,최은영,문학동네,"판매지수 54,666",2021년 07월
1,49,바다가 들리는 편의점,마치다 소노코,모모,"판매지수 40,503",2023년 03월
1,50,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,294",2020년 04월
1,51,"오늘 밤, 세계에서 이 눈물이 사라진다 해도",이치조 미사키,모모,"판매지수 38,076",2022년 07월
1,52,홍학의 자리,정해연,엘릭시르,"판매지수 120,003",2021년 07월
1,53,해리포터와 마법사의 돌 2,J.K. 롤링,문학수첩,"판매지수 29,832",2019년 11월
1,54,라디오 체조,오쿠다 히데오,은행나무,"판매지수 12,414",2023년 11월
1,55,비가 오면 열리는 상점 (영미권 출간기념 리커버),유영광,클레이하우스,"판매지수 30,648",2023년 06월
1,56,나미야 잡화점의 기적,히가시노 게이고,현대문학,"판매지수 43,539",2022년 12월
1,57,눈사람 자살 사건,최승호,달아실,"판매지수 33,708",2019년 03월
1,58,동물농장,조지 오웰,민음사,"판매지수 68,490",2001년 02월
1,59,달러구트 꿈 백화점 2,이미예,팩토리나인,"판매지수 40,062",2021년 07월
1,60,살인자의 쇼핑몰 2,강지영,자음과모음,"판매지수 13,308",2023년 07월
1,61,채식주의자,한강,창비,"판매지수 2,598,153",2022년 03월
1,62,말하고 싶은 비밀,사쿠라 이이요,모모,"판매지수 38,016",2023년 12월
1,63,노인과 바다,어네스트 밀러 헤밍웨이,민음사,"판매지수 50,163",2012년 01월
1,64,지구 끝의 온실,김초엽,자이언트북스,"판매지수 57,021",2021년 08월
1,65,파친코 (합본 한정판),이민진,인플루엔셜,"판매지수 31,686",2023년 12월
1,66,해가 지는 곳으로,최진영,민음사,"판매지수 28,899",2017년 06월
1,67,지루하면 죽는다,조나 레러,윌북(willbook),"판매지수 8,064",2023년 12월
1,68,아가미,구병모,위즈덤하우스,"판매지수 9,576",2018년 03월
1,69,수레바퀴 아래서 : 오리지널 초판본 표지디자인,헤르만 헤세,코너스톤(도서),"판매지수 40,623",2017년 01월
1,70,작은 책방,엘리너 파전,수박설탕,"판매지수 9,396",2023년 12월
1,71,어린 왕자,앙투안 드 생텍쥐페리,열린책들,"판매지수 51,330",2015년 10월
1,72,고려거란전쟁 (상),길승수,들녘,"판매지수 6,426",2023년 11월
1,73,용의자 X의 헌신,히가시노 게이고,재인,"판매지수 48,192",2017년 08월
1,74,눈부신 안부,백수린,문학동네,"판매지수 24,108",2023년 05월
1,75,위시,니콜라스 스파크스,모모,"판매지수 11,952",2023년 12월
1,76,봄그늘 1~5 세트,김차차,파란 (파란미디어),"판매지수 5,916",2024년 02월
1,77,[예스리커버] 우리가 빛의 속도로 갈 수 없다면,김초엽,허블,"판매지수 53,946",2019년 06월
1,78,난장이가 쏘아올린 작은 공,조세희,이성과 힘,"판매지수 3,270",2000년 07월
1,79,아몬드,손원평,다즐링,"판매지수 34,383",2023년 07월
1,80,완득이,김려령,창비,"판매지수 20,217",2008년 03월
1,81,호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,"판매지수 44,256",2023년 01월
1,82,고려거란전쟁 (하),길승수,들녘,"판매지수 6,060",2023년 11월
1,83,설국,가와바타 야스나리,민음사,"판매지수 42,513",2002년 01월
1,84,천 개의 파랑,천선란,허블,"판매지수 55,008",2020년 08월
1,85,왜 나는 너를 사랑하는가,알랭 드 보통,청미래,"판매지수 31,656",2022년 11월
1,86,광인,이혁진,민음사,"판매지수 20,652",2023년 11월
1,87,스파이 외전,민경우,투나미스,"판매지수 7,794",2023년 11월
1,88,연금술사,파울로 코엘료,문학동네,"판매지수 26,583",2001년 12월
1,89,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"판매지수 59,916",2021년 05월
1,90,해리포터와 비밀의 방 1,J.K. 롤링,문학수첩,"판매지수 18,984",2019년 11월
1,91,나는 소망한다 내게 금지된 것을,양귀자,쓰다,"판매지수 58,563",2019년 04월
1,92,요괴어사,설민석,단꿈아이,"판매지수 7,416",2023년 04월
1,93,네가 마지막으로 남긴 노래,이치조 미사키,모모,"판매지수 20,235",2021년 12월
1,94,위너 1,프레드릭 배크만,다산책방,"판매지수 6,726",2023년 12월
1,95,[예스리커버] 변신,프란츠 카프카,문학동네,"판매지수 15,318",2023년 07월
1,96,해리포터와 비밀의 방 2,J.K. 롤링,문학수첩,"판매지수 17,592",2019년 11월
1,97,달과 6펜스,윌리엄 서머싯 몸,민음사,"판매지수 38,934",2000년 06월
1,98,위너 2,프레드릭 배크만,다산책방,"판매지수 6,642",2023년 12월
1,99,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,352",2023년 07월
1,100,파리대왕,윌리엄 골딩,문예출판사,"판매지수 15,408",1999년 06월
2,1,이처럼 사소한 것들,클레어 키건,다산책방,"판매지수 461,415",2023년 11월
2,2,메리골드 마음 사진관,윤정은,북로망스,"판매지수 58,368",2024년 01월
2,3,맡겨진 소녀,클레어 키건,다산책방,"판매지수 150,927",2023년 04월
2,4,모순,양귀자,쓰다,"판매지수 419,727",2013년 04월
2,5,구의 증명,최진영,은행나무,"판매지수 179,619",2023년 04월
2,6,수상한 한의원,배명은,텍스티(TXTY),"판매지수 34,788",2024년 01월
2,7,아주 희미한 빛으로도,최은영,문학동네,"판매지수 97,425",2023년 08월
2,8,황금종이 1,조정래,해냄,"판매지수 63,684",2023년 11월
2,9,황금종이 2,조정래,해냄,"판매지수 61,890",2023년 11월
2,10,금단의 마술,히가시노 게이고,재인,"판매지수 22,068",2024년 02월
2,11,인간 실격,다자이 오사무,민음사,"판매지수 126,288",2004년 05월
2,12,도시와 그 불확실한 벽,무라카미 하루키,문학동네,"판매지수 71,547",2023년 09월
2,13,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 131,535",2022년 05월
2,14,불편한 편의점,김호연,나무옆의자,"판매지수 145,920",2021년 04월
2,15,살인자의 쇼핑몰,강지영,자음과모음,"판매지수 16,296",2020년 02월
2,16,메리골드 마음 세탁소,윤정은,북로망스,"판매지수 55,524",2023년 03월
2,17,바다가 들리는 편의점 합본 (홀리데이 에디션),마치다 소노코,모모,"판매지수 36,615",2023년 11월
2,18,살인자의 쇼핑몰 2,강지영,자음과모음,"판매지수 13,308",2023년 07월
2,19,어린 왕자 오리지널 초판본,앙투안 드 생텍쥐페리,코너스톤(도서),"판매지수 125,037",2020년 09월
2,20,불편한 편의점 2,김호연,나무옆의자,"판매지수 101,961",2022년 08월
2,21,데미안,헤르만 헤세,민음사,"판매지수 138,279",2000년 12월
2,22,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,"판매지수 92,118",2018년 06월
2,23,마지막 마음이 들리는 공중전화,이수연,클레이하우스,"판매지수 28,455",2024년 01월
2,24,사라진 것들,앤드루 포터,문학동네,"판매지수 28,590",2024년 01월
2,25,프랭키,요헨 구치,인플루엔셜,"판매지수 9,432",2024년 01월
2,26,트러스트,에르난 디아스,문학동네,"판매지수 47,856",2023년 02월
2,27,데미안 : 오리지널 초판본 표지디자인,헤르만 헤세,코너스톤(도서),"판매지수 73,245",2017년 01월
