Month,Rank,Title,Genre,Sales Point
01월,28,메리골드 마음 사진관,Fantasy,"18,909"
01월,77,세상 끝의 살인,Mystery,세일즈 포인트 정보 없음
02월,22,금단의 마술,Mystery,"10,036"
02월,68,메리골드 마음 사진관,Fantasy,"18,909"
02월,74,살인자의 쇼핑몰,Thriller,"6,237"
02월,94,지구 생물체는 항복하라,SF,"7,962"
03월,27,삼체 1~3 세트 - 전3권,SF,"37,450"
03월,51,듄 신장판 1~6 세트 - 전6권,SF,"14,299"
03월,58,블랙 쇼맨과 운명의 바퀴,Mystery,"8,919"
03월,61,듄 신장판 1,SF,"11,938"
04월,12,삼체 1~3 세트 - 전3권,SF,"37,450"
04월,41,삼체 1부 : 삼체문제,SF,"22,198"
04월,63,내일의 으뜸,Romance,"16,424"
04월,73,모모,Fantasy,"22,963"
04월,83,I의 비극,Mystery,"8,381"
05월,32,내일의 으뜸,Romance,"16,424"
05월,48,삼체 1~3 세트 - 전3권,SF,"37,450"
05월,59,룬의 아이들 - 블러디드 7,Fantasy,세일즈 포인트 정보 없음
05월,96,삼체 1부 : 삼체문제,SF,"22,198"
06월,38,아이가 없는 집,Mystery,세일즈 포인트 정보 없음
06월,75,룬의 아이들 - 블러디드 7,Fantasy,세일즈 포인트 정보 없음
06월,87,삼체 1~3 세트 - 전3권,SF,"37,450"
06월,92,마녀와의 7일,Mystery,"20,558"
06월,94,고비키초의 복수,Mystery,세일즈 포인트 정보 없음
07월,10,당신이 누군가를 죽였다,Mystery,"66,851"
07월,29,마녀와의 7일,Mystery,"20,558"
07월,42,십계,Mystery,세일즈 포인트 정보 없음
07월,65,아이가 없는 집,Mystery,세일즈 포인트 정보 없음
07월,80,적산가옥의 유령,Horror,"11,337"
07월,91,홍학의 자리,Mystery,"45,816"
08월,5,당신이 누군가를 죽였다,Mystery,"66,851"
08월,59,데뷔 못 하면 죽는 병 걸림 3부 초판 한정 굿즈박스 세트 - 전4권,Fantasy,세일즈 포인트 정보 없음
08월,71,백설공주에게 죽음을 (특별판),Mystery,"15,283"
08월,91,오렌지와 빵칼,Mystery,"16,431"
08월,91,오렌지와 빵칼,SF,"16,431"
08월,100,홍학의 자리,Mystery,"45,816"
09월,37,당신이 누군가를 죽였다,Mystery,"66,851"
09월,65,데뷔 못 하면 죽는 병 걸림 3부 초판 한정 굿즈박스 세트 - 전4권,Fantasy,세일즈 포인트 정보 없음
09월,81,백설공주에게 죽음을 (특별판),Mystery,"15,283"
09월,82,청과 부동명왕,Mystery,세일즈 포인트 정보 없음
09월,93,가연물,Mystery,"13,001"
10월,65,엘리펀트 헤드,Mystery,"18,385"
10월,100,몬스터 1,Mystery,"10,455"
11월,13,내가 키운 S급들 1~5 + 굿즈 패키지 세트 - 전5권,Fantasy,"31,195"
11월,55,미로장의 참극,Mystery,"16,340"
11월,57,리버 1,Mystery,"20,310"
11월,78,리버 2,Mystery,"16,685"
12월,87,겨울철 한정 봉봉 쇼콜라 사건 - 상,Mystery,"19,280"
12월,96,겨울철 한정 봉봉 쇼콜라 사건 - 하,Mystery,"18,290"
